danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,duration_ms,time_signature,track_name,artist_name,release_date,release_date_num,track_popularity,album_name,artist_id,total_tracks,track_number,tracks_external_id
0.81,0.96,7.00,-3.93,0.00,0.19,0.37,0.00,0.31,0.76,118.01,4PMm5LlXi8xGlgr6ZFlF4r,246186,4,Марокканская любовь,Гюльназ Гаджикурбанова,2019-11-14,43783,0,Лети моя любовь,4OYyrTsPPCrfExrA1WrTGn,7,2,FRX201911613
0.67,0.94,7.00,-4.20,0.00,0.09,0.04,0.00,0.34,0.71,110.06,7HTdptUnZYFgXspq0vLGRp,257455,4,Медовый билет,Гюльназ Гаджикурбанова,2019-11-14,43783,0,Лети моя любовь,4OYyrTsPPCrfExrA1WrTGn,7,7,FRX201911618
0.74,0.93,7.00,-3.42,1.00,0.09,0.04,0.00,0.28,0.84,100.00,68vuLhgU1ZXecQJSnUqDuP,249750,4,Моей невестой стала милая,Рейсан Магомедкеримов,2019-11-13,43782,1,Моей невестой стала милая,7gk8pVJvMK6zhWFlsgx3Xn,1,1,FRX201911620
0.80,0.82,9.00,-8.55,0.00,0.15,0.31,0.00,0.04,0.97,172.08,5pnQ3HBJi4MAEuPS61XJ35,238002,4,Личный сорт вина,Джашарбек Тешеллеев,2019-11-12,43781,0,Личный сорт вина,3pvsYryEZcYF03hiP5eMIE,1,1,FRX201911619
0.73,0.99,9.00,-4.88,0.00,0.04,0.24,0.00,0.14,0.80,126.99,2xEElD0bgmN7smxW2AHQNx,234606,4,Дарю я розы,Мурат Гочияев,2019-11-12,43781,4,Дарю я розы,3dBjpZvAOkuDNIJNPpXgCS,5,1,FRX201912780
0.57,0.94,11.00,-5.00,0.00,0.08,0.02,0.00,0.04,0.94,200.05,57zhmmGDX7S9vs0cZ2qEoo,194569,4,Селфи в Instagram,Мурат Гочияев,2019-11-12,43781,0,Дарю я розы,3dBjpZvAOkuDNIJNPpXgCS,5,3,FRX201912782
0.59,0.51,0.00,-7.45,1.00,0.05,0.32,0.00,0.11,0.52,102.05,53qYft5mMTPWjWWxZTAu1h,190642,4,Милая,Мурат Гочияев,2019-11-12,43781,1,Дарю я розы,3dBjpZvAOkuDNIJNPpXgCS,5,2,FRX201912781
0.84,0.93,11.00,-3.10,1.00,0.17,0.07,0.01,0.37,0.93,100.02,52z9T9bN8DAOkLPS3agh72,220200,4,Милашка,Эльдар Далгатов,2019-11-10,43779,10,Все хиты,6o620DGfd3Xj7rDUQH91tl,16,2,QZHZ41992357
0.74,0.80,10.00,-4.78,0.00,0.19,0.44,0.00,0.30,0.96,87.00,0wEmYOanc1i5LmGGXP3VrG,271217,4,Твои поцелуи,Ахмат Батчаев,2019-11-08,43777,8,Не звони,5EU5hHUi9nioRWdJJuJjUD,10,5,FRX201905312
0.72,0.85,9.00,-2.80,0.00,0.16,0.24,0.00,0.04,0.91,169.88,1DbPFL39SCT75C7yQIuF95,248529,4,Не звони,Ахмат Батчаев,2019-11-08,43777,1,Не звони,5EU5hHUi9nioRWdJJuJjUD,10,1,FRX201905308
0.69,0.97,0.00,-4.75,0.00,0.03,0.05,0.07,0.32,0.75,134.99,2CS4PsryZWrLhue6zXjlBy,241998,4,Сагынаман,Римма Утемисова,2019-11-08,43777,0,"Ногайские песни, Ч. 3",1EQgJ9admoMqc6W6hRMrg4,22,8,FRX201909127
0.76,0.96,2.00,-5.90,0.00,0.03,0.18,0.00,0.05,0.96,134.99,7sBn7htpSQqp8qPzTfC5tO,238222,4,Моя родная,Bzhambeev,2019-11-07,43776,0,Моя родная,6UyakMFz0HJ7jl24J5E71K,1,1,FRX201904405
0.75,0.96,10.00,-3.46,1.00,0.15,0.12,0.00,0.11,0.82,120.01,0A1zvi8ZnzCW6mbl8G4Q4r,233000,4,Свадьба,Мурад Гаджикурбанов,2019-11-07,43776,0,Красивая моя,4zRpHPuamWkgo7LUfkPnW6,4,2,FRX201905305
